Bear	Con gấu
Felt	bút dạ
File	tập hồ sơ
File	tủ đựng tài liệu
Flash	thẻ ghi chú
Funnel	Cái phễu (thường dùng trong phòng thí nghiệm)
Globe	quả địa cầu
Glue	Keo dán hồ
Highlighter	bút đánh dấu màu
Magnifying	Kính lúp
Map	bản đồ
Notebook	sổ ghi chép
Paint	sơn, màu
Paint	bút tô màu
Palette	bảng màu
Paper	giấy viết
Paper	kẹp giấy
Paper	dụng cụ kẹp giữ giấy
Pen	bút mực
Pencil	bút chì
Pencil	hộp bút
Pencil	gọt bút chì
Pins	đinh ghim, kẹp
Post-it	giấy nhớ
Protractor	thước đo góc
Ribbon	dải ruy-băng
Ruler	thước kẻ
Scissors	cái kéo
Scotch	băng dính trong suốt
Set	Ê-ke
Stapler	dụng cụ dập ghim
Staple	cái gỡ ghim bấm
Stencil	giấy nến
Tape	thước cuộn
Test	ống thí nghiệm
Textbook	sách giáo khoa
Thumbtack	đinh ghim (kích thước ngắn)
Watercolour	màu nước
(cd)composer	nhà soạn nhạc
Accordion	phong cầm, đàn xếp
Audience	khán giả
Bagpipe	kèn tú
Bass	đàn ghi ta bass
Bass	nhịp, phách
Bassist	nhạc công guitar
Blues	dòng nhạc du nhập sang Bắc Mỹ từ Tây Phi Châu
Bolero	nhạc vàng, nhạc bolero
Cassette	băng cát-xét
Cassette	máy nghe băng
Cello	hồ cầm
Choral	hợp xướng, đồng ca
Clarinet	kèn 
Clarinet	kèn clarinet
Clarinet	nhạc cổ điển
Compact	đĩa thu âm 
Concerto	bài nhạc hợp tấu
Conductor	người chỉ huy dàn nhạc
Country	dòng nhạc đồng quê
Dance	nhạc dance, nhạc nhảy
Drum	trống
Drummer	tay trống
Duet	song ca
EDM	nhạc nhảy điện tử (electronic dance music)
Flautist	người thổi sáo (ở Mỹ gọi là flutist)
Flute	sáo
Gong	cồng
Guitar	ghi ta
Hard	nhạc rock nặng
Harmonica	kèn harmonica
Harmony	hòa âm
Harp	hạc cầm, đàn harp
Headphones	tai nghe
Hip	dòng nhạc hip hop
Hymn	thánh ca
Instrument	nhạc cụ
Jazz	nhạc Jazz
Jingle	điệu nhạc ngắn dễ nhớ
Keyboard	nhạc cụ điện tử có bàn phím như piano điện, organ
Lullaby	những bài hát 
Mini	nhạc đám cưới
Musician	nhạc sĩ
National	Quốc Ca
Note	nốt nhạc
Opera	nhạc kịch
Orchestra	dàn nhạc
Organ	đàn organ
Organist	nghệ sĩ organ
Percussion	nhạc cụ chơi bằng dùi hoặc bàn ta
Performer	người biểu diễn
Pianist	nghệ sĩ dương cầm
Piano	đàn piano
Pop	nhạc po
R&B	dòng nhạc Rhythm and Blues
Rap	nhạc rap
Rapper	người hát rap
Recording	nhạc rock
Mandolin	măng cầm
Saxophone	kèn saxophone
Saxophonist	ca sĩ 
sing	hát
Solo	độc diễn
sonata	bản xô-nát, soạn cho piano hoặc piano và violin
Song	bài hát
soul	nhạc linh hồn, có nguồn gốc từ nhạc phúc âm và R&B
Speaker	sân khấu 
string	nhạc cụ có dây
Symphony	bản giao hưởng
Theme_song	nhạc nền cho phim
Traditional_Vietnamese_musical	cải lương
Trombonist	nhạc công kèn trôm-bôn
Trumpeter	nghệ sĩ
Trumpet	kèn trumpet
Turntable	bàn quay đĩa hát
Ukulele	đàn ukulele
Viola	vĩ cầm lớn
Violin	vĩ cầm
Voice	giọng nói
Walkman	máy nghe nhạc
Xylophone	mộc cầm
Ambarella	Quả cóc
Apple	Táo
Apricot	Mơ
Avocado	Bơ
Banana	Quả chuối
Bell_fruit	Mận miền nam
Cucumber	Dưa leo, dưa chuột
Custard_apple	Quả na, mãng cầu ta (mãng cầu giống việt nam)
Dragon_fruit	Thanh long
Durian	Sầu riêng
Granadilla	Chanh dây
Grape	Nho
Guava	Ổi
Jackfruit	Mít
Kumquat	Tắc
Longan	Quả nhãn
Lychee	Quả vải
Mandarin	Quýt
Mango	Xoài
Mangosteen	Măng cụt
Papaya	Đu đủ
Peach	Đào
Pear	Quả lê
Persimmon	Quả hồng
Pineapple	Quả thơm, quả dứa, khóm
Plum	Mận Bắc
Pomegranate	Lựu
Pomelo	Quả bưởi
Rambutan	Chôm chôm
Sapodilla	Sa bô chê, hồng xiêm
Soursop	Mãng cầu xiêm
Star	Quả vú sữa.
Star	uả khế
Strawberry	Dâu tây
Tamarind	Me
Watermelon	Dưa hấu
Asparagus	măng tây
Bean	giá
Broccoli	bông cải xanh
Cauliflower	súp lơ
peanut	Đậu phộng (lạc)
Herb	cây cỏ nói chung
Lettuce	rau xà lách
Mint	rau xà lách
Radish	củ cải
Sesame	củ cải
Spinach	cải bó xôi
Turnip	củ cải
Breeze	Gió nhẹ
Celsius	Độ C
Acid	mưa axit 
Alternative	năng lượng thay thế 
Atmosphere	khí quyển 
Permission	sự bốc ra 
Biodegradable	có thể phân hủy
Biodiversity	sự đa dạng sinh học 
Carbon	dấu chân các-bon 
Catastrophe	thảm họa 
Clean	dọn dẹp
Climate	Khí hậu
Climate	hiện tượng biến đổi khí hậu 
Cloud	Mây
Cloudy	Nhiều mây
Conserve	bảo tồn
Contaminated	làm bẩn 
Creature	sinh vật 
Degree	Độ
Desertification	quá trình sa mạc hóa 
Destroy	phá hủy 
Destruction	sự phá hủy 
Die	chết dần 
Disappear	biến mất 
Disposal	sự vứt bỏ 
Drizzle	Mưa phùn
Dry	khô cạn 
Dull	Nhiều mây
Dump	vứt bỏ 
Dust	bụi bẩn 
Earthquake	cơn động đất 
Ecology	sinh thái học 
Ecosystem	hệ sinh thái 
Emit	bốc ra 
Endangered	các loài 
Environment	môi trường 
Environment	thân thiện với môi trường
Environmentalist	nhà môi trường học 
Erode	xói mòn 
Erosion	sự xói mòn 
Exhaust	khí thải 
Fahrenheit	Độ F
Famine	nạn đói 
Fertilizer	phân bón 
Flood	Lũ
Fog	Sương mù
Foggy	Nhiều sương mù
Fossil	nhiên liệu hóa thạch 
Frost	Băng giá
Frosty	Giá rét
Global	hiện tượng ấm lên toàn cầu 
Greenhouse	hiệu ứng nhà kính 
Hail	Mưa đá
Hailstone	Cục mưa đá
Harmful	gây hại 
Hazardous	nguy hiểm
Heat	Đợt nóng
Humid	Ẩm
Humidity	Độ ẩm
Hurricane	Cuồng phong
c	Cuồng phong
Ice	Băng, đá
Icy	Đóng băng
Industrial	chất thải công nghiệp 
Leak	rò rỉ 
Lightning	Chớp
Man-made	nhân tạo
Natural	tài nguyên thiên nhiên 
Oil	sự cố tràn dầu 
Organic	hữu cơ
Overcast	U ám
Ozone	tầng ôzôn 
Pesticide	thuốc trừ sâu 
Pollute	làm ô nhiễm 
Polluted	bị ô nhiễm 
Pollution	sự ô nhiễm 
Preservation	sự bảo tồn 
Protect	bảo vệ
Purify	thanh lọc 
Rain	Mưa
Rainbow	Cầu vồng
Raindrop	Hạt mưa
Rainfall	Lượng mưa
Rainforest	rừng nhiệt đới 
Recycle	tái chế 
Renewable	có thể phục hồi 
Reusable	có thể tái sử dụng 
Reuse	tái sử dụng
Sea	mực nước biển 
Sewage	nước thải 
Sleet	Mưa tuyết
Snow	Tuyết
Snowflake	Bông tuyết
Soil	đất 
Solar	pin mặt trời 
Solar	năng lượng mặt trời 
Storm	Bão
Stormy	Có bão
Strong	Cơn gió mạnh
Sun	Mặt trời
Sunshine	Ánh nắng
Sustainable	bền vững
Temperature	Nhiệt độ
Thermometer	Nhiệt kế
Threaten	đe dọa 
Thunder	Sấm
Thunderstorm	Bão có sấm sét
To	Đóng băng
To	Tan
To	Mưa
To	Tuyết rơi
To	Tan
Tornado	Lốc xoáy
Toxic	độc hại 
Urbanization	quá trình đô thị hóa
Weather	Dự báo thời tiết
Wet	Ướt
Wind	Gió
Windy	Có gió
Bright	màu xanh nước biển tươi.
Attractive	quyến rũ, hấp dẫn
Ankle	Mắt cá chân
Arch	Lòng bàn chân
Big	Ngón chân cái
Blood	Máu
Breast	Ngực (phụ nữ)
Calf	Bắp chân
Cheek	Má
Chin	Cằm
Elbow	Khuỷu tay
Eyebrow	Lông mày
Eyelash	Lông mi
Foot	Bàn chân
Hand	Bàn tay
Heel	Gót chân
Index	Ngón trỏ
Jaw	Quai hàm
Knee	Đầu gối
Knuckle	Khớp, đốt ngón tay
Little	Ngón út
Middle	Ngón giữa
Muscle	Cơ bắp
Neck	Cổ
Palm	Lòng bàn tay
Ring	Ngón đeo nhẫn
Shoulder	Vai
Sweat	Mồ hôi
Thigh	Bắp đùi
Throat	Cổ họng
Thumb	Ngón tay cái
Toe	Ngón chân
Toenail	Móng chân
Tongue	lưỡi
Wrist	Cổ tay
Aggressive	Hung hăng, năng nổ
Ambitious	Tham vọng
Artful	Xảo quyệt, tinh ranh
Bad-tempered	Nóng tính
Boastful	Khoe khoang, khoác lác
Boring	Nhàm chán, chán nản
Bossy	Hống hách, hách dịch
Brave	Dũng cảm, gan dạ
Calm	Điềm tĩnh
Careful	Cẩn thận, kỹ lưỡng
Careless	Bất cẩn, cẩu thả
Cautious	Thận trọng, cẩn thận
Childish	Ngây ngô, trẻ con
Clever	Khéo léo, thông minh, lanh lợi
Cold	Lạnh lùng
Competitive	Ganh đua, thích cạnh tranh
Confident	Tự tin
Considerate	Chu đáo, ân cần
Courage	Can đảm, dũng cảm
Courteous	Lịch thiệp, nhã nhặn
Cowardly	Nhát gan, hèn nhát
Creative	Sáng tạo
Cruel	Độc ác, dữ tợn, tàn bạo, tàn nhẫn
Curious	Tò mò, hiếu kỳ
Decisive	Quyết đoán, kiên quyết
Dependable	Đáng tin cậy
Diligent	Siêng năng, cần cù
Dynamic	Năng động, năng nổ, sôi nổi
Emotional	Nhạy cảm, dễ xúc động
Enthusiastic	Hăng hái, nhiệt tình
Envious	Ganh tị, đố kỵ
Faithful	Chung thủy, trung thành, trung thực
Fawning	Nịnh hót, xu nịnh
Frank	Thẳng thắng, ngay thẳng, bộc trực
Friendly	Thân thiện
Gentle	Dịu dàng, hòa nhã, hiền lành
Gracious	Tử tế, hào hiệp, lịch thiệp
Greedy	Tham lam
Gruff	Thô lỗ, cộc cằn
Hardworking	Chăm chỉ
Haughty	Kiêu căng, kiêu kỳ, ngạo mạn
Headstrong	Cứng đầu, bướng bỉnh
Honest	Trung thực, chân thật, lương thiện
Humble	Khiêm tốn, nhún nhường
Humorous	Hài hước, hóm hỉnh, khôi hài
Impolite	Vô lễ, bất lịch sự
Industrious	Cần cù, chăm chỉ
Insolent	Láo xược, xấc láo
Intelligent	Thông minh, sáng dạ
Jealous	Ghen ghét, ghen tị
Kind	Tốt bụng, tử tế
Lazy	Lười biếng
Liberal	Rộng rãi, bao dung, hào phóng
Lovely	Đáng yêu, yêu kiều, thú vị
Loyal	Trung thành, trung nghĩa, trung kiên
Malicious	Hiểm độc, hiểm ác
Mature	Chín chắn, trưởng thành
Mean	Keo kiệt, bủn xỉn
Merciful	Nhân từ, khoan dung
Mischievous	Tinh nghịch, láu lỉnh
Naive	Ngây thơ, chất phác, thật thà
Naughty	Nghịch ngợm, hư đốn
Obedient	Ngoan ngoãn, vâng lời
Observant	Tinh ý, hay quan sát
Open-minded	Phóng khoáng, cởi mở
Optimistic	Lạc quan, yêu đời
Outgoing	Thân mật, dễ gần, thoải mái
Passionate	Nồng nàn, nồng nhiệt, sôi nổi
Patient	Kiên nhẫn, nhẫn nại, bền chí
Pessimistic	Bi quan, chán đời
Polite	Lịch sự, lễ phép, lịch thiệp
Quiet	Trầm lặng, ít nói
Rational	Minh mẫn, sáng suốt
Reckless	Hấp tấp, liều lĩnh, táo bạo
Responsible	Có trách nhiệm
Romantic	Lãng mạn, mơ mộng
Rude	Thô lỗ, hỗn láo, vô lễ, khiếm nhã, bất lịch sự
Secretive	Kín đáo
Selfish	Ích kỷ
Sensitive	Nhạy cảm
Serious	Nghiêm túc, nghiêm nghị
Shy	Nhút nhát, rụt rè, bẽn lẽn
Silly	Ngớ ngẩn, khờ khạo
Sincere	Thành thật, chân thành, chân thật, thẳng thắng
Sociable	Hòa đồng, gần gũi
Strict	Nghiêm khắc, khắt khe
Stubborn	Bướng bỉnh, ngoan cố, ương ngạnh
Stupid	Ngốc nghếch, đần độn
Tactful	Lịch thiệp, tế nhị
Talkative	Hoạt ngôn, ba hoa, nhiều chuyện
Tricky	Gian xảo, thủ đoạn, quỷ quyệt
Truthful	Trung thực, thật thà, chân thật
Unpleasant	Khó chịu, khó ưa
Vain	Kiêu ngạo, tự phụ, tự đắc
Wise	Thông thái, khôn ngoan, sáng suốt
Witty	Hóm hỉnh, dí dỏm
Zealous	Hăng hái, sốt sắng, có nhiệt huyết
Helmet	mũ bảo hiểm
Cowboy	mũ cao bồi
Balaclava	mũ len trùm đầu và cổ
Baseball	mũ lưỡi trai
Baseball	nón lưỡi trai
Beret	mũ nồi
Boots	bốt
Bowler	mũ quả dưa
Bucket	mũ tai bèo
Chunky	giày, dép đế thô
Clog	guốc
Deerstalker	mũ thợ săn
Dockside	giày lười Dockside
Fedora	mũ phớt mềm
Flat	mũ lưỡi trai
Hard	mũ bảo hộ
Hat	mũ
Loafer	giày lười
Moccasin	giày Mocca
Monk	giày quai thầy tu
Mortar_board	mũ tốt nghiệp
Sandals	dép xăng-đan
Slip	giày lười thể thao
Snapback	mũ lưỡi trai phẳng
Stilettos	giày gót nhọn
Top	mũ chóp cao
Wedge	giầy đế xuồng
Wellingtons	ủng cao su
Petrol_station	Trạm xăng
Bride	cô dâu
Bridesmaids	phù dâu
Champagne	rượu sâm-panh
Groom	chú rể
Groomsmen	phù rể
Newlyweds	cặp đôi mới cưới, những người vừa lập gia đình
Reception	tiệc chiêu đãi sau đám cưới
Tuxedo	áo tuxedo (lễ phục)
Cake	Bánh ngọt
Biscuit	Bánh quy
Bread	Bánh mì
Butter	Bơ
Cheese	Pho mát
Jam	Mứt
Chicken	Gà
Egg	Trứng
Fish	Cá
Noodles	Mì ống, mì sợi
Sausage	Xúc xích, dồi, lạp xưởng
Soup	Canh, cháo
Rice	Gạo
Hamburger	Bánh hăm bơ gơ
Pork	Thịt lợn
Beef	Thịt bò
Bacon	Thịt xông khói.
Salad	Rau trộn
Cooking	Rau trộn
Boil	Luộc 
Bake	Nướng bằng lò
Roast	Quay, nướng
Fry	Chiên, rán
Grill	Nướng than (trực tiếp)
Steam	Hấp
Food	Hấp
Sweet	Ngọt
Sour	Chua; ôi; thiu
Salty	Mặn
Delicious	Thơm ngon
Tasty	Ngon, đầy hương vị
Bland	Nhạt nhẽo
Horrible	Khó chịu, kinh khủng
Spicy	Cay, có gia vị
Hot	Nóng, cay nồng
Mild	Nhẹ (mùi)
Fresh	Tươi, mới, tươi sống
Rotten	Thối rữa, đã hỏng
Stale	Ôi, thiu (bánh mì, bánh ngọt)
Mouldy	Bị mốc
Overdone	Nấu quá chín
Ripe	Chín (trái cây)
Unripe	Chưa chính
Tender	Không dai, mềm
Tough	Dai
Beer	Bia
Wine	Rượu
Coffee	Cà phê
Milk	Sữa
Soda	Nước có ga
Five-spice	Nước có ga
Builder.	thợ xây dựng.
Cashier.	thu ngân.
Cook.	đầu bếp.
Dentist.	nha sĩ
Doctor.	bác sĩ
Reporter.	phóng viên.
Tailor.	thợ may.
Teacher.	giáo viên.
Air	không khí
Area	khu vực
Art	nghệ thuật
Back	phía sau
Body	cơ thể
Book	cuốn sách
Business	kinh doanh
Car	xe hơi
Case	trường hợp
Change	thay đổi
Child	con cái 
City	thành phố
Community	cộng đồng
Company	công ty
Country	đất nước
Day	ngày
Door	cánh cửa
End	kết thúc
Eye	mắt
Face	gương mặt
Fact	sự thật
Family	gia đình
Father	cha
Force	lực lượng
Friend	người bạn
Game	trò chơi
Girl	cô gái
Government	chính phủ
Guy	chàng trai
Hand	bàn tay
Head	đầu
Health	sức khỏe
History	lịch sử
Home	nhà
Hour	giờ 
House	ngôi nhà
Idea	ý tưởng
Information	thông tin
Issue	vấn đề
Job	nghề nghiệp
Kid	trẻ con
Kind	loại
Law	luật pháp
Level	cấp bậc 
Life	cuộc sống
Line	vạch kẻ
Lot	từng phần
Man	đàn ông
Member	thành viên
Minute	phút
Moment	hiện tại
Money	tiền bạc
Month	tháng
Morning	buổi sáng
Mother	mẹ
Name	tên gọi
Night	ban đêm
Number	con số
Office	văn phòng
Others	những cái khác
Parent	phụ huynh
Part	bộ phận
Party	bữa tiệc
People	con người
Person	con người
Place	vị trí
Point	điểm
Power	năng lượng
President	chủ tịch
Problem	vấn đề
Program	hương trình
Question	câu hỏi
Reason	lý do
Research	nghiên cứu
Result	kết quả
Right	quyền lợi
Room	căn phòng
Group	nhóm
School	trường học
Service	dịch vụ
Side	khía cạnh
State	trạng thái
Story	câu chuyện
Student	học sinh
Study	học tập
System	hệ thống
Teacher	giáo viên
Team	nhóm, đội
Thing	sự vật
Time	thời gian
War	chiến tranh
Water	nước 
Way	con đường
Week	tuần
Woman	phụ nữ
Word	từ
Work	công việc
World	thế giới
Year	năm
Education	giáo dục
Accept	chấp nhận
Achieve	đạt được
Act	ra vẻ, hành động
Admin	thừa nhận
Affect	ảnh hưởng tới
Announce	thông báo
Apply	áp dụng
Argue	tranh cãi
Arrive	đến
Assume	cho rằng
Avoid	tránh
Base	dựa trên
Break	làm vỡ
Catch	bắt lấy
Cause	gây ra
Choose	chọn
Claim	tuyên bố
Close	đóng lại
Compare	so sánh
Contain	chứa
Control	kiểm soát
Cover	bao phủ
Cut	cắt bỏ
Deal	xử lý
Design	thiết kế
Determine	xác định
Discuss	thảo luận
Drive	lái xe
Eat	ăn
Encourage	khuyến khích
End	kết thúc
Enjoy	thưởng thức
Ensure	chắc chắn
Enter	tiến vào
Establish	thiết lập
Exist	tồn tại
Explain	giải thích
Express	diễn đạt
Face	đối mặt 
Fail	thất bại
Fill	lấp đầy
Finish	hoàn thành
Force	bắt buộc
Forget	quên
Form	hình thành
Grow	lớn lên
Identify	xác định
Improve	nâng cao
Increase	tăng lên
Indicate	chỉ ra rằng
Introduce	giới thiệu
Join	ghép
Kill	giết
Learn	học hỏi
Lie	nói xạo
Listen	nghe 
Love	yêu thương
Maintain	duy trì
Manage	quản lý
Mention	nhắc tới
Note	ghi lại
Obtain	đạt được
Occur	xảy ra
Pass	vượt qua
Pick	nhặt lên
Place	đặt, để
Plan	lên kế hoạch
Point	chỉ vào
Prepare	chuẩn bị
Present	giới thiệu
Prove	chứng minh
Publish	xuất bản
Pull	kéo
Reduce	giảm
Refer	nhắc tới
Reflect	suy nghĩ
Relate	có liên quan
Remove	loại bỏ
Replace	thay thế
Report	báo cáo
Represent	đại diện cho
Rise	tăng lên
Save	lưu giữ
Seek	tìm kiếm
Serve	phục vụ
Share	chia sẻ
Smile	mỉm cười
Stay	ở lại 
Suffer	chịu khổ
Support	ủng hộ
Suppose	giả sử
Tend	có xu hướng
Thank	cảm ơn
Throw	ném
Treat	đối xử
Visit	thăm nom
Watch	xem
Wear	đội, mặc
Wish	muốn
Wonder	tự hỏi
A	rất nhiều
Absolutely	tuyệt đối
Accurately	một cách chính xác
Almost	gần như
Already	đã rồi
Always	luôn luôn
Angrily	một cách tức giận
Anxiously	một cách lo
Anywhere	bất kỳ đâu
As	kết quả là
Away	đi khỏi
Badly	cực kì
Beautifully	một cách đẹp đẽ
Besides	bên cạnh đó
Bravely	một cách dũng cảm
Carefully	một cách cẩn thận
Carelessly	một cách cẩu thả
Cautiously	một cách cẩn trọng
Early	sớm
Easily	một cách dễ dàng
Enormously	cực kì
Enough	đủ
Entirely	toàn bộ
Especially	đặc biệt là
Everywhere	khắp mọi nơi
Expertly	một cách điêu luyện
Finally	cuối cùng thì
Frequently	thường xuyên
Fully	hoàn toàn
Furthermore	hơn nữa
Generally	nói chung
Greedily	một cách tham lam
Happily	một cách vui vẻ
Hardly	hầu như không
Hardly	hầu như không
Here	ở đây
Highly	hết sức
However	mặc dù
Hungrily	một cách đói khát
Inside	bên trong
Instead	thay vào đó
Just	chỉ
Largely	phần lớn là
Lately	gần đây
Lazily	một cách lười biếng
Little	một ít
Loudly	một cách ồn ào
Mainly	chủ yếu là
Moreover	hơn nữa
Nearby	gần đây
Never	không bao giờ
Now	ngay bây giờ
Nowhere	không ở đâu cả
Occasionally	đôi khi
Often	thường
Only	duy nhất
Outside	bên ngoài
Particularly	cụ thể là
Perfectly	hoàn hảo
Politely	một cách lịch sự
Pretty	khá là
Professionally	một cách chuyên nghiệp
Quickly	một cách nhanh chóng
Quite	khá là
Rarely	hiếm khi
Rather	khá là
Recently	gần đây
Recklessly	một cách bất cẩn
Remarkably	đáng kể
Seldom	hiếm khi
Simply	đơn giản
Simply	đơn giản là
Slightly	một chút
Sometimes	thỉnh thoảng
Somewhere	một nơi nào đó
Soon	sớm thôi
Specifically	cụ thể là
Still	vẫn
Strongly	cực kì
Terribly	cực kì
Then	sau đó
There	ở kia
Tomorrow	ngày mai
Unlike	không giống như
Usually	thường xuyên
Very	rất
Yesterday	hôm qua
Add	 cộng
Addition	phép cộng                     
Algebra	đại số
Angle	góc
Arithmetic	số học                    
Circle	hình tròn                                  
Circumference	chu vi đường tròn
Cube	hình lập phương
Curve	đường cong                           
Decimal	thập phân                       
Decimal	dấu thập phân
Diameter	đường kính                
Divide	chia                                    
Division	phép chia
Equal	bằng
Fraction	phân số
Geometry	hình học                    
Height	chiều cao                               
Hexagon	hình lục giác
Length	chiều dài                              
Minus	âm                                     
Multiplication	phép nhân
Multiply	nhân
Oval	hình bầu dục                           
Parallel	song song
Pentagon	hình ngũ giác            
Percent	phần trăm
Percentage	tỷ lệ phần trăm
Plus	dương
Pyramid	hình chóp                   
Radius	bán kính
Rectangle	hình chữ nhật
Right	góc vuông
Sphere	hình cầu
Square	hình vuông
Square	căn bình phương
Squared	bình phương                 
Straight	đường thẳng
Subtract	trừ
Subtraction phép trừ
Take	trừ đi
Times	lần
Total	Tổng
Triangle	hình tam giác
Volume	dung lượng
Width	chiều rộng
